RP, mu, Result
0, 0.0, 0.617
0, 0.2, 1.0
0, 0.4, 1.0
0, 0.6000000000000001, 1.0
0, 0.8, 1.0
1, 0.0, 0.617
1, 0.2, 1.0
1, 0.4, 1.0
1, 0.6000000000000001, 1.0
1, 0.8, 1.0
2, 0.0, 0.79455
2, 0.2, 1.0
2, 0.4, 1.0
2, 0.6000000000000001, 1.0
2, 0.8, 1.0
3, 0.0, 0.8724
3, 0.2, 1.0
3, 0.4, 1.0
3, 0.6000000000000001, 1.0
3, 0.8, 1.0
4, 0.0, 0.8074
4, 0.2, 1.0
4, 0.4, 1.0
4, 0.6000000000000001, 1.0
4, 0.8, 1.0
5, 0.0, 0.7905
5, 0.2, 0.8753739348598654
5, 0.4, 0.886083511698093
5, 0.6000000000000001, 0.8945553396683853
5, 0.8, 0.9008410434059592
6, 0.0, 0.3567
6, 0.2, 0.3867862903507886
6, 0.4, 0.4204155170965956
6, 0.6000000000000001, 0.44734219132662895
6, 0.8, 0.4672442421769966
7, 0.0, 0.0542
7, 0.2, 0.07079352043563489
7, 0.4, 0.08850976540026874
7, 0.6000000000000001, 0.10413025545911854
7, 0.8, 0.11723765099741175
8, 0.0, 0.0046
8, 0.2, 0.006226881720430099
8, 0.4, 0.008201948790126076
8, 0.6000000000000001, 0.010448086734693381
8, 0.8, 0.012798427295745879
9, 0.0, 1.0E-4
9, 0.2, 1.0E-4
9, 0.4, 1.0E-4
9, 0.6000000000000001, 1.0E-4
9, 0.8, 1.0E-4
10, 0.0, 1.0E-4
10, 0.2, 1.0E-4
10, 0.4, 1.0E-4
10, 0.6000000000000001, 1.0E-4
10, 0.8, 1.0E-4
